id,defineid,en_US,ar_AE,pt_BR,es_AR,ru_RU,uk_UA
10001,MSG_WARNING,Warning,تحذير,Atenção,Advertencia,Внимание,Увага
10002,MSG_DISCTITLE,Disc,أساسي,Disco,Disco,Диск,Диск
10003,MSG_USBTITLE,USB,USB,USB,USB,USB,USB
10004,MSG_IPODTITLE,iPod,iPod,iPod,iPod,iPod,iPod
10005,MSG_BTTITLE,Bluetooth,البلوتوث,Bluetooth,Bluetooth,Bluetooth,Bluetooth
10006,MSG_PHONETITLE,Phone,الهاتف,Telefone,Teléfono,Телефон,Телефон
10007,MSG_BTAUDIOTITLE,BT Audio,الصوتBT ,BT Áudio,BT Audio,BT Audio,BT Audio
20001,MSG_UNSUPPORTFS,Unsupport file system,ملف شكل غير مدعوم,Sistema de arquivos não suportado,Sistema de archivos no admitido,Системный файл не поддерживается,Системний файл не підтримується
20002,MSG_DISCEJECTED,Ejected,مرفوض,Ejetando,Expulsado,Извлечено,Витягнений
20003,MSG_CONNECT,Connected,تم توصيل,Conectado,Conectado,Подключено,Підключений
20004,MSG_DISCONNECT,Disconnected,تم فصل,Desconectado,Desconectado,Отключено,Відключений
20005,MSG_MFIAUTHFAIL,MFI Auth Failed,فشلت مصادقة MFI,Autenticação de MFI falhou,Autorización MFI fallido,Не удалось аутентифицировать MFI,Не вдалося автентифікувати MFI
20006,MSG_IDREJECT,Identification Rejected,تم رفض التعريف,Identificação Rejeitada,Identificación rechazada,Идентификация отклонена,Ідентифікація відхилена
20007,MSG_DISCINSERT,Inserted,تم إدخال القر,Inserido,Insertado,Вставлено,Уставлений
20008,MSG_NODISC,No Disc,بدون قرص,Nenhum Disco,Sin disco,Диск отсутствует,Диск відсутній
20009,MSG_USBNORESP,USB Device No Response,جهاز USB لا اجابة,Dispositivo USB sem resposta,Dispositivo USB sin respuesta,USB-устройство не отвечает,USB-пристрій не відповідає
20010,MSG_USBNOSUPP,Unsupported USB Device,غير مدعوم جهاز USB,Dispositivo USB não suportado,Dispositivo USB no compatible,USB-устройство не поддерживается,USB-пристрій не підтримується
20011,MSG_USBNOHUB,USB hub is not supported,لم يتم دعم محور USB,Hub USB não é suportado,Hub USB no compatible,USB-концентратор не поддерживается,USB-концентратор не підтримується
20012,MSG_SIRI_NEED_ENABLE,Please enable Siri in the phone settings,الرجاء تمكين سيري في إعدادات الهاتف,Favor habilitar SIRI nas configurações do telefone,Por favor habilite Siri en la configuración del teléfono,"Пожалуйста, активируйте Siri в настройках телефона","Будь ласка, активуйте Siri в налаштуваннях телефону"
20013,MSG_PUSH2CAR_NAVI,Navi,Navi,Navegação,Navegación,Навигатор,Навігатор
20014,MSG_PUSH2CAR_DISMISS,Dismiss,Dismiss,Fechar,Descarte,Отменить,Відміти
20015,MSG_PUSH2CAR_INFO,Info,معلومات,Informação,Información,Информация,Інформація
20016,MSG_HDMI_TITLE,HDMI,HDMI,HDMI,HDMI,HDMI,HDMI
20017,MSG_HDMI_CONNECTED,Connected,ﺖﻣ ﺕﻮﺼﻴﻟ,Conectado,Conectado,Подключено,Підключений
20018,MSG_HDMI_DISCONNECTED,Disconnected,ﺖﻣ ﻒﺼﻟ,Desconectado,Desconectado,Отключено,Відключений
20047,MSG_SIRI,Siri,سيري,Siri,Siri,Siri,Siri
20048,MSG_HDMI_NOT_PERMIT,HDMI service is not allowed,غير مسموح بخدمة HDMI,Serviço HDMI não é permitido,El servicio HDMI no está permitido,Сервис HDMI недоступен,Сервіс HDMI недоступний
20049,MSG_HDMI_STREAMING_FAIL,HDMI service start fail,فشل بدء تشغيل خدمة HDMI,Falha de início do serviço HDMI,El servicio de encendido de HDMI ha fallado,Не удалось запустить сервис HDMI,Не вдалося запустити сервіс HDMI
20050,stringid_rear,R,R,R,A,R,R
20051,stringid_front,F,F,F,F,F,F
20052,stringid_left,L,L,L,I,L,L
20053,stringid_right,R,R,R,D,R,R
30001,stringid_homepage,Home Page,الصفحة الرئيسية,Home Page,Página de inicio,Домашняя страница,Домашня сторінка
30002,stringid_ipod,iPod,iPod,iPod,iPod,iPod,iPod
30003,stringid_usb,USB,USB,USB,USB,USB,USB
30004,stringid_miracast,Miracast,Miracast,Miracast,Miracast,Miracast,Miracast
30005,stringid_hdmi,HDMI,HDMI,HDMI,HDMI,HDMI,HDMI
30006,stringid_aux,AUX,AUX,AUX,AUX,AUX,AUX
30007,stringid_usbipod,USB/iPod,USB/iPod,USB/iPod,USB/iPod,USB/iPod,USB / iPod
30008,stringid_btaudio,BT Audio,الصوتBT,BT Áudio,BT Audio,BT Audio,BT Audio
30009,stringid_disc,Disc,أساسي,Disco,Disco,Диск,Диск
30010,stringid_setup,SETUP,الإعدادات,CONFIGURAÇÃO,Configuración,НАСТРОЙКА,НАСТРОЙКА
30011,stringid_phone,PHONE,الهاتف,TELEFONE,Teléfono ,ТЕЛЕФОН,ТЕЛЕФОН
30012,stringid_media,MEDIA,الوسائط,MÍDIA,MEDIA,МЕДИА,Медіа
30013,stringid_navi,NAVI,NAVI,NAVEGAÇÃO,NAVEGACIÓN,НАВИГАТОР,НАВІГАТОР
30014,stringid_radio2,RADIO,راديو,RÁDIO,RADIO,РАДИО,РАДІО
30015,stringid_destsearch,Destination Search,بحث عن وجهة,Pesquisas de Destino,Búsqueda de destino,Поиск места назначения,Пошук місця призначення
30016,stringid_qibla,Qibla,القبلة,Qibla,Qibla,Кибла,Кибла
30017,stringid_mapnotinstall,Map not installed – please contact nearest Toyota dealer,خريطة غير مثبتة، اتصل بأقرب موزع لتويوتا,Mapa não instalado - entre em contato com o revendedor Toyota mais próximo,Mapa no instalado–por favor contacte con su consecionario de Toyota más cercano,"Карта не установлена - пожалуйста, обратитесь к ближайшему дилеру Toyota","Карта не встановлена-будь ласка, зверніться до найближчого дилера Toyota"
30018,stringid_prayeronn,Prayer ON,صلاة على,Oração LIGADO,Encendido,Режим запроса активирован,Режим запиту активовано
30020,stringid_radio,Radio,راديو,Rádio,Radio,Радио,Радіо
30021,stringid_none,None,بدون,Nenhum,Ninguno,Нет,Ні
30022,stringid_news,News,الأخبار,Notícia,Noticias,Новости,Новина
30023,stringid_affairs,Affairs,شؤون الأعمال,Assuntos,Asuntos,Дела,Справа
30024,stringid_info,Info,معلومات,informação,Información,Информация,Інформація
30025,stringid_sport,Sport,رياضة,Esporte,Deportes,Спорт,Спорт
30026,stringid_educate,Educate,تعليم,Educar,Educación,Образование,Освіта
30027,stringid_drama,Drama,دراما,Drama,Drama,Драма,Драма
30028,stringid_culture,Culture,ثقافة,Cultura,Cultura,Культура,Культура
30029,stringid_science,Science,علوم,Ciência,Ciencia,Наука,Наука
30030,stringid_varied,Varied,متنوع,Variado,Variedad,Разное,Різне
30031,stringid_popmusic,Pop Music,موسيقى بوب,Música Pop,Música Pop,Поп-музыка,Поп-музика
30032,stringid_rockmusic,Rock Music,موسيقى الروك,Musica Rock,Música Rock,Рок-музыка,Рок-музика
30033,stringid_easymusic,Easy Music,موسيقى سهلة الاستعمال,Música Fácil,Música Fácil,Простая музыка,Проста музика
30034,stringid_lightmusic,Light Music,موسيقى خفيفة,Música Leve,Música Suave,Легкая музыка,Легка музика
30035,stringid_classmusic,Class Music,موسيقى كلاسيكية,Música Clássica,Música Clásica,Классическая музыка,Класична музика
30036,stringid_othermusic,Other Music,موسيقى أخرى,Outras Músicas,Otra Música,Другая музыка,Інша музика
30037,stringid_weather,Weather,الطقس,Clima,Clima,Погода,Погода
30038,stringid_finance,Finance,المالية,Finança,Finanzas,Финансы,Фінанси
30039,stringid_children,Children,الأطفال,Infantil,Niños,Дети,Діти
30040,stringid_social,Social,اجتماعي,Social,Social,Социальное,Соціальний
30041,stringid_religion,Religion,الديانة,Religião,Religión,Религия,Релігія
30042,stringid_phonein,Phone In,الهاتف,Entrada de Telefone,Teléfono Conectado,Сигнал вызова,Сигнал виклику
30043,stringid_travel,Travel,سفر,Viagem,Viajes,Путешествие,Подорож
30044,stringid_leisure,Leisure,رَفَاهِيَة,Lazer,Ocio,Отдых,Відпочинок
30045,stringid_jazzmusic,Jazz Music,موسيقى جاز,Música Jazz,Jazz,Джаз-музыка,Джаз-музика
30046,stringid_countrymusic,Country Music,موسيقى ريفية,Música Country,Country,Кантри-музыка,Кантрі-музика
30047,stringid_nationalmusic,National Music,موسيقى وطنية,Música Nacional,Música Nacional,Национальная музыка,Національна музика
30048,stringid_oldiesmusic,Oldies Music,موسيقى قديمة,Música antiga,Música de Antaño,Старая музыка,Стара музика
30049,stringid_folkmusic,Folk music,موسقى شعبية,música folclórica,Folclore,Фолк-музыка,Фолк-музика
30050,stringid_document,Document,وثيقة,Documento,Documental,Документ,Документ
30051,stringid_test,Test,اختبار,Teste,Prueba,Тест,Тест
30052,stringid_alarm,Alarm,تنبيه,Alarme,Alarma,Будильник,Будильник
30053,stringid_aswilloverwrite,"AS will overwrite preset channels, please confirm",سوف تقوم AS باستبدال القنوات الحالية، يرجى التأكيد,"AS sobrescreverá os canais predefinidos, por favor confirmar","AS sobrescribirá las memorias preestablecidas, confirme","AS перезапишет ранее установленные каналы, пожалуйста, подтвердите","AS перезапише раніше встановлені канали, будь ласка, підтвердіть"
30054,stringid_pleasewait,Please wait…,الرجاء الانتظار...,"Por favor, aguarde…",Por favor espere…,"Пожалуйста, подождите…","Будь ласка, зачекайте…"
30055,stringid_seekpty,Seek PTY,شركة Seek PTY,Procurar PTY,Buscar PTY,Искать PTY,Шукати PTY
30056,stringid_seek,Seek ,شركة Seek ,Procurar,Búsqueda,Искать,Шукати
30057,stringid_confirmation,Confirmation,تأكيد,Confirmação,Confirmación,Подтверждение,Підтвердження
30058,stringid_as,AS,AS,AS,AS,"AS перезапишет ранее установленные каналы, пожалуйста, подтвердите","AS перезапише раніше встановлені канали, будь ласка, підтвердіть"
30059,stringid_cancel,Cancel,إلغاء,Cancelar,Cancelar,Отмена,Скасування
30060,stringid_attention,Attention,تنبيه,Atenção,Atención,Внимание,Увага
30061,stringid_trafficalert,There is a traffic alert now,يوجد إخطار عن حركة المرور,Existe um alerta de tráfego no momento,Hay una alerta de tráfico ahora,В данный момент трафик перегружен,В даний момент трафік перевантажений
30062,stringid_media2,Media,الوسائط ,Mídia,Medios,Медиа,Медіа
30063,stringid_disconnected,%1 disconnected,تم فصل %1 ,%1 desconectado,%1 desconectado,%1 отключен,%1 відключений
30064,stringid_isdisconnecting,%1 is disconnecting...,جارٍ فصل %1... ,%1 está desconectando...,%1 desconectando…,%1 отключается,%1 відключається
30065,stringid_connectfailed,%1 connect failed,فشل فصل %1 ,%1 conexão falhou,%1 conexión fallida,не удалось подключить %1,не вдалося підключити %1
30066,stringid_connected,%1 connected, تم توصيل %1,%1 conectado,%1 conectado,%1 подключен,%1 підключений
30067,stringid_isconnecting,%1 is connecting...,جار توصيل %1...,%1 está se conectando...,%1 está conectando…,%1 подключается,%1 підключається
30068,stringid_readytocast,Ready to cast...,جاهز للبث...,Pronto para lançar...,Listo para emitir...,Готово к преобразованию,Готово до перетворення
30069,stringid_wifiinitialize,Wi-Fi initialize...,تهيئة شبكة Wi-Fi...,Inicialização Wi-Fi...,Iniciando Wi-Fi…,Инициализация Wi-Fi,Ініціалізація Wi-Fi
30070,stringid_devicename,Device name : ,اسم الجهاز: ,Nome do dispositivo :,Nombre de dispositivo : ,Имя устройства:,Ім'я пристрою:
30071,stringid_pleaseconnecthdmi,Please connect with HDMI cable,الرجاء التوصيل بكبل HDMI,Favor conectar com o cabo HDMI,Por favor conecte con un cable HDMI,"Пожалуйста, подключите HDMI-кабель","Будь ласка, підключіть кабель HDMI"
30072,stringid_pleaseconnectaux,Please connect with AUX cable,الرجاء التوصيل بكبل AUX,Favor conectar com o cabo AUX,Por favor conecte con un cable AUX,"Пожалуйста, подключите AUX-кабель","Будь ласка, підключіть AUX-кабель"
30073,stringid_wifidisplayinit,Wi-Fi display initializing…,جارٍ تهيئة شاشة شبكة Wi-Fi...,Tela de Wi-Fi inicializando…,Inicialización de pantalla Wi-Fi…,Инициализация дисплея Wi-Fi,Ініціалізація дисплея Wi-Fi
30074,stringid_initializing,Wi-Fi initializing…,جارٍ تهيئة شبكة Wi-Fi...,Inicialização de Wi-Fi…,Inicialización de Wi-Fi…,Инициализация Wi-Fi,Ініціалізація Wi-Fi
30075,stringid_code,code: ,الرمز: ,código:,código:,код:,код:
30076,stringid_acceptwifi,Accept Wi-Fi connection from %1 ?,هل تم قبول اتصال شبكة Wi-Fi من قبل %1؟,Aceitar a conexão Wi-Fi de %1?,Acepta la conexión Wi-Fi de %1?,Принять подключение W-Fi от %1?,Прийняти підключення W-Fi від %1?
30077,stringid_accept,Accept,قبول,Aceitar,Aceptar,Принять,Прийняти
30078,stringid_reject,Reject,رفض,Rejeitar,Cancelar,Отклонить,Відхилити
30079,stringid_hdmiconnected,HDMI device is connected,تم توصيل جهاز HDMI,Dispositivo HDMI está conectado,El dispositivo HDMI está conectado,HDMI-устройство подключено,HDMI-пристрій підключено
30080,stringid_hdminotconnected,HDMI device is not connected,لم يتم توصيل جهاز HDMI,Dispositivo HDMI não está conectado,El dispositivo HDMI no está conectado,HDMI-устройство не подключено,HDMI-пристрій не підключено
30081,stringid_hdmiservicenotallow,HDMI service is not allowed,غير مسموح بخدمة HDMI,Serviço HDMI não é permitido,El servicio HDMI no está permitido,HDMI-сервис недоступен,HDMI-сервіс недоступний
30082,stringid_hdmistartfail,HDMI service start fail,فشل بدء تشغيل خدمة HDMI,Falha de início do serviço HDMI,El servicio de encendido de HDMI ha fallado,Не удалось запустить сервис HDMI,Не вдалося запустити сервіс HDMI
30083,stringid_hdmiconnected2,HDMI device is connected,تم توصيل جهاز HDMI,Dispositivo HDMI está conectado,El dispositivo HDMI está conectado,HDMI-устройство подключено,HDMI-пристрій підключено
